"theme_folder","theme_name_pt","product_no","title_ko","source_category_folder","source_detail_url","themed_file","bytes"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","157","아시아나 항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=157&cate_no=79&display_group=1","022__157__아시아나 항공.jpg","203572"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","156","아시아나 항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=156&cate_no=79&display_group=1","023__156__아시아나 항공.jpg","195148"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","155","아시아나 항공","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=155&cate_no=79&display_group=1","024__155__아시아나 항공.jpg","1853705"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","69","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=69&cate_no=79&display_group=1","025__69__SK엔크린.jpg","114739"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","68","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=68&cate_no=79&display_group=1","026__68__SK엔크린.jpg","175465"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","67","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=67&cate_no=79&display_group=1","027__67__SK엔크린.jpg","190084"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","66","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=66&cate_no=79&display_group=1","028__66__SK엔크린.jpg","152346"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","65","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=65&cate_no=79&display_group=1","029__65__SK엔크린.jpg","1867535"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","64","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=64&cate_no=79&display_group=1","030__64__SK엔크린.jpg","626186"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","63","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=63&cate_no=79&display_group=1","031__63__SK엔크린.jpg","452136"
"03-automotivo-e-mobilidade","Automotivo e Mobilidade","62","SK엔크린","02-retail-distribution-aviation","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=62&cate_no=79&display_group=1","032__62__SK엔크린.jpg","1634611"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","1423","한국공항공사","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1423&cate_no=80&display_group=1","001__1423__한국공항공사.jpg","210697"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1418","해양경찰","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1418&cate_no=80&display_group=1","002__1418__해양경찰.jpg","343751"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","1415","인천","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1415&cate_no=80&display_group=1","003__1415__인천.jpg","165053"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1414","경찰청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1414&cate_no=80&display_group=1","004__1414__경찰청.jpg","239862"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1413","경찰청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1413&cate_no=80&display_group=1","005__1413__경찰청.jpg","222367"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1412","경찰청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1412&cate_no=80&display_group=1","006__1412__경찰청.jpg","247679"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1411","경찰청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1411&cate_no=80&display_group=1","007__1411__경찰청.jpg","241671"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1398","LIG Defense&amp;Aerospace","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1398&cate_no=80&display_group=1","008__1398__LIG Defense&amp;Aerospace.jpg","116143"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1397","LIG Defense&amp;Aerospace","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1397&cate_no=80&display_group=1","009__1397__LIG Defense&amp;Aerospace.jpg","220350"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1396","LIG Defense&amp;Aerospace","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1396&cate_no=80&display_group=1","010__1396__LIG Defense&amp;Aerospace.jpg","255336"
"04-militar-defesa-e-resgate","Militar, Defesa e Resgate","1393","방위사업청","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1393&cate_no=80&display_group=1","011__1393__방위사업청.jpg","165380"
"02-aviacao-ferrovia-e-transporte","Aviação, Ferrovia e Transporte","1376","한국철도공사","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1376&cate_no=80&display_group=1","012__1376__한국철도공사.jpg","303749"
"05-industria-energia-e-tecnologia","Indústria, Energia e Tecnologia","1373","SK하이닉스","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1373&cate_no=80&display_group=1","013__1373__SK하이닉스.jpg","138795"
"05-industria-energia-e-tecnologia","Indústria, Energia e Tecnologia","1372","SK하이닉스","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1372&cate_no=80&display_group=1","014__1372__SK하이닉스.jpg","148165"
"07-publico-cultura-saude-e-educacao","Público, Cultura, Saúde e Educação","1370","안성3ㆍ1운동기념관","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1370&cate_no=80&display_group=1","015__1370__안성3ㆍ1운동기념관.jpg","133006"
"05-industria-energia-e-tecnologia","Indústria, Energia e Tecnologia","1341","한국재료연구원","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1341&cate_no=80&display_group=1","016__1341__한국재료연구원.jpg","137263"
"05-industria-energia-e-tecnologia","Indústria, Energia e Tecnologia","1340","한국수력원자력","03-public-research","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1340&cate_no=80&display_group=1","017__1340__한국수력원자력.jpg","122657"
