"category_folder","category_name","category_id","sequence","product_no","title_ko","source_detail_url","local_file","bytes","status"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","22","157","아시아나 항공","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=157&cate_no=79&display_group=1","022__157__아시아나 항공.jpg","203572","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","23","156","아시아나 항공","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=156&cate_no=79&display_group=1","023__156__아시아나 항공.jpg","195148","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","24","155","아시아나 항공","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=155&cate_no=79&display_group=1","024__155__아시아나 항공.jpg","1853705","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","25","69","SK엔크린","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=69&cate_no=79&display_group=1","025__69__SK엔크린.jpg","114739","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","26","68","SK엔크린","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=68&cate_no=79&display_group=1","026__68__SK엔크린.jpg","175465","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","27","67","SK엔크린","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=67&cate_no=79&display_group=1","027__67__SK엔크린.jpg","190084","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","28","66","SK엔크린","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=66&cate_no=79&display_group=1","028__66__SK엔크린.jpg","152346","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","29","65","SK엔크린","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=65&cate_no=79&display_group=1","029__65__SK엔크린.jpg","1867535","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","30","64","SK엔크린","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=64&cate_no=79&display_group=1","030__64__SK엔크린.jpg","626186","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","31","63","SK엔크린","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=63&cate_no=79&display_group=1","031__63__SK엔크린.jpg","452136","downloaded"
"02-retail-distribution-aviation","Retail, Distribution & Aviation","79","32","62","SK엔크린","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=62&cate_no=79&display_group=1","032__62__SK엔크린.jpg","1634611","downloaded"
"03-public-research","Public Institutions & Research","80","1","1423","한국공항공사","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1423&cate_no=80&display_group=1","001__1423__한국공항공사.jpg","210697","downloaded"
"03-public-research","Public Institutions & Research","80","2","1418","해양경찰","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1418&cate_no=80&display_group=1","002__1418__해양경찰.jpg","343751","downloaded"
"03-public-research","Public Institutions & Research","80","3","1415","인천","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=1415&cate_no=80&display_group=1","003__1415__인천.jpg","165053","downloaded"
