"category_folder","category_name","category_id","sequence","product_no","title_ko","detail_url","original_image_url","local_file","bytes","status","error_message"
"05-other","Other","82","57","145","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=145&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18480E185B5E1848BE185A1E18490E185A1E1848BE185B5E18480E185A5E1848CE185B320E18491E185B5E18480E185B2E1848BE185A5.jpg","057__145__한국야구위원회 KBO.jpg","1686295","downloaded",""
"05-other","Other","82","58","144","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=144&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/LGE18490E185B3E1848BE185B1E186ABE18489E185B320E18491E185B5E18480E185B2E1848BE185A5.jpg","058__144__한국야구위원회 KBO.jpg","1668999","downloaded",""
"05-other","Other","82","59","143","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=143&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/KTE1848BE185B1E1848CE185B320E18491E185B5E18480E185B2E1848BE185A5.jpg","059__143__한국야구위원회 KBO.jpg","1634564","downloaded",""
"05-other","Other","82","60","142","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=142&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18482E185A6E186A8E18489E185A6E186ABE18492E185B5E1848BE185A5E18485E185A9E1848CE185B320E18491E185B5E18480E185B2E1848BE185A5.jpg","060__142__한국야구위원회 KBO.jpg","1666151","downloaded",""
"05-other","Other","82","61","141","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=141&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18483E185AEE18489E185A1E186ABE18487E185A6E1848BE185A5E18489E185B320E18491E185B5E18480E185B2E1848BE185A5.jpg","061__141__한국야구위원회 KBO.jpg","1667772","downloaded",""
"05-other","Other","82","62","140","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=140&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18485E185A9E186BAE18483E185A6E1848CE185A1E1848BE185B5E1848BE185A5E186ABE1848EE185B320E18491E185B5E18480E185B2E1848BE185A5.jpg","062__140__한국야구위원회 KBO.jpg","1690645","downloaded",""
"05-other","Other","82","63","139","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=139&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/LGE18490E185B3E1848BE185B1E186ABE18489E185B3E18485E185A1E186A8E1848FE185A5E18485E185AEE186B7.jpg","063__139__한국야구위원회 KBO.jpg","462549","downloaded",""
"05-other","Other","82","64","138","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=138&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/KTE18485E185A1E186A8E1848FE185A5E18485E185AEE186B7.jpg","064__138__한국야구위원회 KBO.jpg","449031","downloaded",""
"05-other","Other","82","65","137","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=137&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18483E185AEE18489E185A1E186ABE18487E185A6E1848BE185A5E18489E185B320E18485E185A1E186A8E1848FE185A5E18485E185AEE186B7.jpg","065__137__한국야구위원회 KBO.jpg","440770","downloaded",""
"05-other","Other","82","66","136","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=136&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18485E185A9E186BAE18483E185A6E18485E185A1E186A8E1848FE185A5E18485E185AEE186B7.jpg","066__136__한국야구위원회 KBO.jpg","459097","downloaded",""
"05-other","Other","82","67","135","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=135&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/KTE18487E185A5E18489E185B3.jpg","067__135__한국야구위원회 KBO.jpg","1582811","downloaded",""
"05-other","Other","82","68","134","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=134&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18482E185A6E186A8E18489E185A6E186ABE18487E185A5E18489E185B3.jpg","068__134__한국야구위원회 KBO.jpg","715704","downloaded",""
"05-other","Other","82","69","133","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=133&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18483E185AEE18489E185A1E186ABE18487E185A5E18489E185B3.jpg","069__133__한국야구위원회 KBO.jpg","708580","downloaded",""
"05-other","Other","82","70","132","한국야구위원회 KBO","https://oxfordtoy.co.kr/portfolio/detail_popup.html?product_no=132&cate_no=82&display_group=1","https://oxfordtoy.co.kr/web/upload/NNEditor/20250128/E18485E185A9E186BAE18483E185A6E18487E185A5E18489E185B3.jpg","070__132__한국야구위원회 KBO.jpg","725319","downloaded",""
